split,benchmark,loop_idx,cells_measured,oracle_best,best_action,best_unmerge,best_factor,beats_noop
test,tsp-cuda,4,12,0.15,unroll_only,0,8,1
test,tsp-cuda,5,12,0.15,unroll_only,0,7,1
test,tsp-cuda,9,14,0.15,unroll_only,0,2,1
test,hadamard-cuda,4,17,0.243051,unmerge,1,9,1
test,spmv-cuda,0,0,0.0,noop,0,1,0
test,wlcpow-cuda,3,12,0.15,unroll_only,0,2,1
test,sc-cuda,3,0,0.0,noop,0,1,0
test,kalman-cuda,1,16,0.186588,unroll_only,0,8,1
test,kalman-cuda,18,11,0.1908,unmerge,1,2,1
test,hybridsort-cuda,1,13,0.0,noop,0,1,0
test,hybridsort-cuda,2,17,0.15,unroll_only,0,3,1
test,colorwheel-cuda,6,0,0.0,noop,0,1,0
test,atomicCAS-cuda,0,0,0.0,noop,0,1,0
test,atomicCAS-cuda,2,0,0.0,noop,0,1,0
test,attention-paged-cuda,9,0,0.0,noop,0,1,0
test,attention-paged-cuda,10,0,0.0,noop,0,1,0
test,attention-paged-cuda,14,0,0.0,noop,0,1,0
test,attention-paged-cuda,15,0,0.0,noop,0,1,0
test,attention-paged-cuda,17,0,0.0,noop,0,1,0
test,attention-paged-cuda,191,0,0.0,noop,0,1,0
test,perplexity-cuda,2,14,0.174383,unmerge,1,2,1
test,tissue-cuda,1,11,0.109451,unmerge,1,1,1
test,cm-cuda,2,0,0.0,noop,0,1,0
test,cm-cuda,4,0,0.0,noop,0,1,0
test,sort-cuda,10,16,0.283289,unmerge,1,9,1
test,sort-cuda,15,11,0.282524,unroll_only,0,3,1
test,sort-cuda,33,10,0.116135,unroll_only,0,5,1
test,sort-cuda,42,10,0.115456,unmerge,1,8,1
test,sort-cuda,73,15,0.279578,unmerge,1,3,1
test,sort-cuda,76,11,0.279777,unmerge,1,3,1
test,sort-cuda,79,15,0.282317,unmerge,1,4,1
test,sort-cuda,80,12,0.15,unroll_only,0,4,1
test,sort-cuda,81,16,0.279421,unmerge,1,1,1
test,sort-cuda,88,12,0.282745,unmerge,1,3,1
test,sort-cuda,89,9,0.282451,unmerge,1,8,1
test,sort-cuda,92,12,0.115115,unroll_only,0,7,1
test,sort-cuda,118,12,0.279926,unroll_only,0,4,1
test,sort-cuda,135,12,0.15,unroll_only,0,9,1
test,sort-cuda,136,11,0.278823,unmerge,1,8,1
test,sort-cuda,142,10,0.15,unroll_only,0,2,1
test,sort-cuda,148,14,0.15,unroll_only,0,7,1
test,sort-cuda,152,13,0.277595,unmerge,1,4,1
test,sort-cuda,155,10,0.28349,unroll_only,0,10,1
test,sort-cuda,160,16,0.15,unroll_only,0,10,1
test,sort-cuda,163,16,0.279636,unmerge,1,6,1
test,sort-cuda,165,16,0.282856,unmerge,1,9,1
test,sort-cuda,166,11,0.280726,unmerge,1,2,1
test,contract-cuda,1,10,0.088498,unroll_only,0,2,1
test,contract-cuda,5,11,0.253531,unroll_only,0,2,1
test,contract-cuda,18,10,0.26395,unroll_only,0,7,1
test,contract-cuda,23,10,0.27764,unroll_only,0,5,1
test,contract-cuda,28,12,0.296845,unroll_only,0,5,1
test,contract-cuda,35,8,0.277012,unroll_only,0,8,1
test,diamond-cuda,0,0,0.0,noop,0,1,0
test,diamond-cuda,3,0,0.0,noop,0,1,0
test,diamond-cuda,7,0,0.0,noop,0,1,0
test,is-cuda,0,12,0.8298,unmerge,1,2,1
test,is-cuda,8,11,0.15,unmerge,1,8,1
test,kurtosis-cuda,10,16,0.15,unroll_only,0,4,1
test,log2-cuda,0,12,0.147459,unroll_only,0,2,1
test,log2-cuda,1,10,0.179932,unroll_only,0,7,1
test,asmooth-cuda,0,0,0.0,noop,0,1,0
test,asmooth-cuda,2,0,0.0,noop,0,1,0
test,asmooth-cuda,3,0,0.0,noop,0,1,0
test,asmooth-cuda,5,0,0.0,noop,0,1,0
test,convolutionSeparable-cuda,1,11,0.179013,unroll_only,0,9,1
test,convolutionSeparable-cuda,2,12,0.175127,unmerge,1,9,1
test,convolutionSeparable-cuda,6,13,0.230456,unmerge,1,10,1
test,convolutionSeparable-cuda,7,14,0.23413,unmerge,1,7,1
test,zoom-cuda,0,11,0.184383,unmerge,1,10,1
